col_name	condition	replica
[1] 331_2022_GBR-Cell-34C-A.raw.PG.Quantity	CELL34	1
[2] 331_2022_GBR-Cell-34C-B.raw.PG.Quantity	CELL34	2
[3] 331_2022_GBR-Cell-34C-C.raw.PG.Quantity	CELL34	3
[4] 331_2022_GBR-Cell-37C-A.raw.PG.Quantity	CELL37	1
[5] 331_2022_GBR-Cell-37C-B.raw.PG.Quantity	CELL37	2
[6] 331_2022_GBR-Cell-37C-C.raw.PG.Quantity	CELL37	3
[7] 331_2022_GBR-Cell-40C-A.raw.PG.Quantity	CELL40	1
[8] 331_2022_GBR-Cell-40C-B.raw.PG.Quantity	CELL40	2
[9] 331_2022_GBR-Cell-40C-C.raw.PG.Quantity	CELL40	3
[10] 331_2022_GBR-SN-34C-A.raw.PG.Quantity	SN34	1
[11] 331_2022_GBR-SN-34C-B.raw.PG.Quantity	SN34	2
[12] 331_2022_GBR-SN-34C-C.raw.PG.Quantity	SN34	3
[13] 331_2022_GBR-SN-37C-A.raw.PG.Quantity	SN37	1
[14] 331_2022_GBR-SN-37C-B.raw.PG.Quantity	SN37	2
[15] 331_2022_GBR-SN-37C-C.raw.PG.Quantity	SN37	3
[16] 331_2022_GBR-SN-40C-A.raw.PG.Quantity	SN40	1
[17] 331_2022_GBR-SN-40C-B.raw.PG.Quantity	SN40	2
[18] 331_2022_GBR-SN-40C-C.raw.PG.Quantity	SN40	3